// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
55638	7968651	-0.094254	-9.759660	-0.036661	-0.005534	-0.000049	-0.005342	-90.340446	0.615791	-75.968025
55639	7968676	-0.115229	-9.744890	-0.057147	-0.005117	-0.005211	-0.005369			
55640	7968701	-0.090475	-9.764033	-0.026614	-0.006655	-0.004973	-0.002164			
55641	7968726	-0.114094	-9.731601	-0.057625	-0.002961	-0.003733	0.004566			
55642	7968751	-0.080061	-9.764486	-0.020395	-0.002868	-0.000699	0.002462	-90.340118	0.616650	-75.966209
55643	7968776	-0.061852	-9.762162	-0.032999	-0.005695	-0.002959	-0.002930			
55644	7968801	-0.090526	-9.765678	-0.012260	-0.009502	0.000466	-0.002262			
55645	7968826	-0.104807	-9.758472	-0.029921	-0.007032	0.003028	-0.002760			
55646	7968851	-0.090823	-9.764268	-0.042911	-0.006683	-0.002265	-0.004008	-90.341377	0.615875	-75.966217
55647	7968876	-0.085909	-9.747225	-0.036698	-0.003910	-0.004466	0.001487			
55648	7968901	-0.111870	-9.765352	-0.019822	-0.008233	-0.001848	-0.007145			
55649	7968926	-0.119506	-9.767800	-0.021709	-0.009575	-0.001341	-0.002268			
55650	7968951	-0.113614	-9.747809	-0.020756	-0.004224	0.001727	0.001773	-90.342247	0.615917	-75.965675
55651	7968976	-0.097169	-9.758240	-0.039023	-0.003666	-0.001749	0.001505			
55652	7969001	-0.129050	-9.764565	-0.023585	-0.008595	-0.006364	-0.002933			
55653	7969026	-0.108886	-9.772639	-0.037580	-0.008270	-0.000283	-0.000727			
55654	7969051	-0.105673	-9.776741	-0.014982	-0.001152	-0.002348	0.002199	-90.342453	0.616857	-75.964394
55655	7969076	-0.113813	-9.744830	-0.060467	0.000259	-0.005050	-0.003785			
55656	7969101	-0.107283	-9.775745	-0.050444	-0.002959	-0.000128	-0.001186			
55657	7969126	-0.143013	-9.752853	-0.024909	-0.005838	0.001891	-0.003023			
55658	7969151	-0.110911	-9.737003	-0.011587	-0.001945	0.000079	-0.002275	-90.341110	0.616317	-75.964241
55659	7969176	-0.106156	-9.775424	-0.007827	-0.003405	0.003807	-0.002186			
55660	7969201	-0.104825	-9.760886	-0.027124	-0.010881	0.001548	-0.000326			
55661	7969226	-0.099606	-9.771549	-0.007908	-0.010468	-0.003481	0.001958			
55662	7969251	-0.108659	-9.748352	-0.043270	-0.003104	-0.003684	-0.001268	-90.342232	0.616992	-75.964272
55663	7969276	-0.105841	-9.749444	-0.030855	-0.003095	-0.002265	-0.004853			
55664	7969301	-0.104784	-9.763360	-0.020831	-0.008504	-0.000808	-0.000788			
55665	7969326	-0.119007	-9.757068	-0.039881	-0.004615	-0.000682	-0.005352			
55666	7969351	-0.108157	-9.756422	-0.042363	-0.006440	0.000982	0.001143	-90.342628	0.616512	-75.964165
55667	7969376	-0.110190	-9.751558	-0.020712	-0.002170	0.001246	-0.001758			
55668	7969401	-0.111193	-9.787631	-0.020770	-0.005983	0.000344	-0.000471			
55669	7969426	-0.085205	-9.798323	-0.045359	-0.009234	-0.000170	-0.001945			
55670	7969451	-0.100975	-9.767580	-0.020401	-0.011885	0.001009	0.000449	-90.343948	0.616892	-75.964737
55671	7969476	-0.100737	-9.744686	-0.028433	-0.003290	-0.003618	0.000915			
55672	7969501	-0.097733	-9.762599	-0.002173	-0.011191	-0.005448	-0.005168			
55673	7969526	-0.105446	-9.784712	-0.020834	-0.008881	-0.001399	-0.004642			
55674	7969551	-0.118789	-9.775967	-0.045139	-0.003645	0.001281	-0.002076	-90.344963	0.616242	-75.963692
55675	7969576	-0.125903	-9.740941	-0.045662	-0.007278	0.000831	-0.002195			
55676	7969601	-0.117676	-9.758284	-0.021695	-0.007761	0.001591	-0.004946			
