// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
16213	10259826	9.806271	0.282779	-0.139858	-0.004809	0.000262	-0.006607			
16214	10259851	9.820265	0.266711	-0.136128	-0.007163	-0.001776	-0.000325	112.925697	-88.232430	28.143719
16215	10259876	9.833219	0.256379	-0.130052	-0.004943	-0.007690	-0.002918			
16216	10259901	9.815657	0.277142	-0.105908	-0.005531	-0.003180	-0.005713			
16217	10259926	9.822729	0.258649	-0.133249	-0.006741	-0.001256	-0.003584			
16218	10259951	9.784968	0.308078	-0.134089	-0.009520	-0.002606	-0.004730	112.964096	-88.230873	28.103590
16219	10259976	9.807534	0.260082	-0.143223	-0.001276	-0.000006	-0.006412			
16220	10260001	9.795562	0.299160	-0.134558	-0.004347	0.000072	-0.004736			
16221	10260026	9.756355	0.306069	-0.125781	-0.002967	-0.002930	0.000574			
16222	10260051	9.799165	0.270476	-0.121182	-0.006311	-0.002347	0.000004	112.975967	-88.230209	28.092518
16223	10260076	9.813234	0.291685	-0.127454	-0.003740	-0.000884	-0.003970			
16224	10260101	9.806999	0.292944	-0.122173	-0.005049	-0.000197	-0.004281			
16225	10260126	9.813661	0.282205	-0.100522	-0.005871	0.006194	-0.001425			
16226	10260151	9.806437	0.289242	-0.102971	-0.003381	0.002430	0.001307	112.937073	-88.230545	28.131790
16227	10260176	9.817266	0.280985	-0.142320	-0.005332	-0.000969	0.000452			
16228	10260201	9.803802	0.279495	-0.118764	-0.006607	-0.001249	0.000457			
