// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
58549	6403026	-0.169091	-0.058069	9.803599	-0.000076	-0.000034	-0.000747			
58550	6403051	-0.154918	-0.059673	9.826541	-0.002588	-0.001487	0.003298	-0.254731	0.994571	-125.515259
58551	6403076	-0.183918	-0.062182	9.812782	-0.004788	0.003707	0.003265			
58552	6403101	-0.153577	-0.083630	9.813602	-0.000164	-0.003390	-0.001080			
58553	6403126	-0.153310	-0.070430	9.816467	-0.003192	0.001268	-0.001495			
58554	6403151	-0.172956	-0.061679	9.820403	-0.001150	-0.002837	-0.003123	-0.253398	0.994643	-125.506134
58555	6403176	-0.176933	-0.061177	9.838639	-0.009099	-0.000133	-0.002453			
58556	6403201	-0.177964	-0.058452	9.850148	-0.006160	0.002055	-0.001544			
58557	6403226	-0.179641	-0.050623	9.801256	-0.004756	-0.000519	-0.007974			
58558	6403251	-0.179676	-0.055600	9.815639	-0.008279	-0.001791	-0.001308	-0.254814	0.994828	-125.495544
58559	6403276	-0.188660	-0.057558	9.809452	-0.008640	-0.002448	-0.001119			
58560	6403301	-0.166740	-0.059256	9.814143	-0.009593	-0.002590	0.000425			
58561	6403326	-0.176712	-0.053704	9.789265	-0.002973	0.000569	0.002664			
58562	6403351	-0.154328	-0.055872	9.795861	-0.001913	0.001688	0.002731	-0.255444	0.994683	-125.482567
58563	6403376	-0.157170	-0.063301	9.811698	-0.007093	0.001395	0.001210			
58564	6403401	-0.160544	-0.060312	9.804040	0.000586	0.001203	-0.002401			
58565	6403426	-0.164883	-0.042067	9.786798	0.000370	-0.002225	-0.001843			
58566	6403451	-0.186992	-0.033101	9.800339	-0.004655	-0.001416	-0.004385	-0.254339	0.994780	-125.472610
58567	6403476	-0.193373	-0.032555	9.821451	-0.002344	0.000635	-0.003041			
58568	6403501	-0.164074	-0.039879	9.798776	0.000671	0.002232	-0.005350			
58569	6403526	-0.184493	-0.042121	9.804165	-0.000393	-0.000300	-0.001636			
58570	6403551	-0.176978	-0.029615	9.797402	-0.002863	-0.005113	0.001678	-0.252396	0.994657	-125.460083
58571	6403576	-0.160193	-0.050010	9.811711	-0.002153	-0.001693	-0.006004			
58572	6403601	-0.171111	-0.038943	9.791620	-0.003468	-0.004691	-0.004861			
58573	6403626	-0.187280	-0.046765	9.789799	-0.006455	0.001074	-0.004309			
58574	6403651	-0.177686	-0.055635	9.794538	-0.001657	0.003359	-0.001681	-0.251735	0.994619	-125.452423
58575	6403676	-0.169700	-0.059243	9.816556	-0.002643	0.003919	-0.005777			
58576	6403701	-0.155356	-0.056712	9.815514	-0.002623	-0.000140	0.002213			
58577	6403726	-0.170686	-0.041969	9.801216	-0.004876	-0.002319	-0.002152			
58578	6403751	-0.178852	-0.033802	9.784005	-0.008669	0.004262	-0.005499	-0.251788	0.995679	-125.441330
58579	6403776	-0.191357	-0.035757	9.812820	-0.006384	-0.001581	-0.008553			
58580	6403801	-0.178390	-0.012162	9.830481	-0.006591	-0.000738	-0.003543			
58581	6403826	-0.177885	-0.034792	9.795016	-0.003186	-0.000933	-0.001246			
58582	6403851	-0.178296	-0.054137	9.814683	-0.006722	0.001724	-0.001037	-0.252430	0.995707	-125.435020
