// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
23505	7165326	-0.169587	0.153829	-9.842788	-0.004199	0.001252	-0.002114			
23506	7165351	-0.190669	0.170874	-9.857069	-0.003576	-0.000025	0.001977	179.806870	0.946473	-89.521461
23507	7165376	-0.172431	0.139681	-9.817378	-0.004123	-0.001402	-0.005145			
23508	7165401	-0.178784	0.156748	-9.825974	-0.001310	0.000581	-0.005013			
23509	7165426	-0.155687	0.145504	-9.841900	-0.004321	-0.001341	-0.005856			
23510	7165451	-0.168398	0.157231	-9.809724	-0.008848	0.000194	-0.005636	179.806549	0.946522	-89.519394
23511	7165476	-0.177229	0.138542	-9.811595	-0.003619	-0.003336	-0.005415			
23512	7165501	-0.162089	0.140550	-9.808801	0.001352	-0.004597	-0.001270			
23513	7165526	-0.157350	0.157126	-9.828958	-0.004765	-0.003545	-0.005156			
23514	7165551	-0.184177	0.178817	-9.844642	-0.001898	-0.000848	-0.004634	179.807617	0.948053	-89.518021
23515	7165576	-0.170915	0.131125	-9.813543	-0.008124	-0.002311	-0.003861			
23516	7165601	-0.176376	0.147058	-9.806816	-0.004427	0.000477	-0.000130			
23517	7165626	-0.153981	0.185492	-9.820827	-0.005411	-0.002643	0.001262			
23518	7165651	-0.173687	0.161538	-9.816415	-0.008705	-0.004262	-0.003931	179.806107	0.949065	-89.518112
23519	7165676	-0.173233	0.160873	-9.803947	-0.008550	-0.000635	-0.001673			
23520	7165701	-0.158237	0.143198	-9.814572	-0.012590	-0.004776	-0.002320			
23521	7165726	-0.163034	0.148768	-9.812626	-0.008808	-0.000831	-0.002633			
23522	7165751	-0.170759	0.168968	-9.838955	-0.003168	-0.000666	0.001904	179.803696	0.949814	-89.518471
23523	7165776	-0.171584	0.155462	-9.825049	-0.005874	0.001937	-0.000189			
23524	7165801	-0.172200	0.172351	-9.843746	-0.005779	-0.001496	-0.002515			
23525	7165826	-0.158141	0.147284	-9.839979	-0.004439	-0.003533	-0.001951			
23526	7165851	-0.164406	0.149346	-9.823166	-0.002898	-0.001177	0.002284	179.803284	0.950183	-89.519196
23527	7165876	-0.157752	0.153301	-9.830868	-0.001618	0.000653	-0.000398			
23528	7165901	-0.137764	0.151184	-9.823778	-0.009596	-0.000207	-0.002432			
23529	7165926	-0.147384	0.171795	-9.850099	-0.007181	-0.001843	-0.003794			
23530	7165951	-0.172862	0.130446	-9.806335	-0.001021	0.000146	0.000496	179.802826	0.950122	-89.519348
23531	7165976	-0.168757	0.146592	-9.804444	-0.003251	-0.000353	-0.003800			
23532	7166001	-0.149373	0.136592	-9.843371	-0.004697	-0.001338	-0.001049			
23533	7166026	-0.169666	0.156619	-9.838960	-0.004049	-0.001922	-0.005403			
23534	7166051	-0.161484	0.148646	-9.839961	-0.002363	-0.004467	-0.002344	179.803085	0.951043	-89.518547
23535	7166076	-0.183932	0.139996	-9.811558	-0.009407	-0.002328	-0.002569			
23536	7166101	-0.160205	0.154493	-9.814559	-0.006033	0.002505	-0.003771			
23537	7166126	-0.171595	0.157963	-9.834151	-0.003593	0.000288	-0.001159			
23538	7166151	-0.166371	0.165510	-9.854789	-0.010160	-0.000334	-0.000058	179.801239	0.950785	-89.518478
23539	7166176	-0.170354	0.162818	-9.810671	-0.006630	-0.000663	0.000373			
23540	7166201	-0.153365	0.151992	-9.834725	-0.002247	0.004318	-0.002559			
23541	7166226	-0.156861	0.153175	-9.816496	-0.007434	0.002487	-0.001396			
